instance,seed,algorithm,trace_type,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time,generation
w30,80,ABMA20,primary_evaluation,223,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,50.50526300002821,
w30,80,ABMA20,primary_evaluation,224,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,50.68152719992213,
w30,80,ABMA20,primary_evaluation,225,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,50.82051310013048,
w30,80,ABMA20,primary_evaluation,226,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,51.132499400060624,
w30,80,ABMA20,primary_evaluation,227,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,51.258994000032544,
w30,80,ABMA20,primary_evaluation,228,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,51.40124909998849,
w30,80,ABMA20,primary_evaluation,229,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,51.728300200076774,
w30,80,ABMA20,primary_evaluation,230,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,51.82210820005275,
w30,80,ABMA20,primary_evaluation,231,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,52.04372640000656,
w30,80,ABMA20,primary_evaluation,232,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,52.288296499988064,
w30,80,ABMA20,primary_evaluation,233,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,52.56400060001761,
w30,80,ABMA20,primary_evaluation,234,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,52.69359829998575,
w30,80,ABMA20,primary_evaluation,235,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,52.936913799960166,
w30,80,ABMA20,primary_evaluation,236,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,53.1875704000704,
w30,80,ABMA20,primary_evaluation,237,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,53.35355400014669,
w30,80,ABMA20,primary_evaluation,238,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,53.45064610010013,
w30,80,ABMA20,primary_evaluation,239,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,53.56567279994488,
w30,80,ABMA20,primary_evaluation,240,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,53.679427300114185,
